material,strength,weight_capacity,biodegradability,co2_emission,recyclability,cost,durability,industry,co2_impact_index,cost_efficiency_index,suitability_score,type
Glass,183.97,7.82,5,420.26,70.8,110.01587,11.1,Washing Machine,4.7,7.61,41.36,Glass
Silicon,235.1,36.25,1,172.54,46.45,165.19954,9.61,Electric Vehicle Battery Pack,8.24,6.28,50.36,Silicon
Silicon,193.66,14.09,1,274.71,83.87,149.67512,9.45,Hair Dryer,6.78,6.65,42.9,Silicon
Lithium-ion Battery Material,20.41,31.61,1,162.15,22.44,34.05789,9.29,Hair Dryer,8.39,9.45,6.73,Lithium-ion Battery Material
Low Carbon Steel,267.1,41.6,4,279.08,24.04,162.22070000000002,9.2,Air Conditioner,6.72,6.35,56.69,Low Carbon Steel
Copper,479.53,46.77,10,189.09,54.28,264.00449,10.11,Air Conditioner,8.01,3.89,102.14,Copper
Glass,385.63,20.37,1,50.0,20.21,255.04124,7.44,Electric Vehicle Battery Pack,10.0,4.11,80.03,Glass
Polypropylene,165.47,57.61,7,50.0,8.71,96.561,6.08,Smartphone,10.0,7.94,37.46,Polypropylene
Stainless Steel,338.62,17.46,7,50.0,96.95,174.15274,6.43,Tablet,10.0,6.06,74.73,Stainless Steel
ABS Plastic,163.62,4.11,9,209.28,71.1,148.87162999999998,8.08,Washing Machine,7.72,6.67,39.1,ABS Plastic
Aluminum Alloy,244.78,54.64,2,137.44,38.94,194.2594,8.01,Hair Dryer,8.75,5.58,52.47,Aluminum Alloy
ABS Plastic,331.33,27.92,8,453.58,8.56,207.22817,6.01,Smartphone,4.22,5.26,69.77,ABS Plastic
Glass,117.24,42.79,2,531.05,49.92,98.56759,6.89,Laptop,3.11,7.89,26.17,Glass
ABS Plastic,370.42,28.37,8,375.27,37.31,237.82247,7.32,Air Conditioner,5.34,4.52,78.67,ABS Plastic
Low Carbon Steel,260.45,31.14,5,258.5,64.18,167.52699,8.23,Electric Vehicle Battery Pack,7.01,6.22,56.92,Low Carbon Steel
Stainless Steel,292.85,22.79,5,50.0,96.35,202.01651,8.71,Refrigerator,10.0,5.39,64.96,Stainless Steel
Carbon Fiber Composite,310.17,11.71,9,403.42,41.81,243.06137,8.63,Microwave Oven,4.94,4.4,66.98,Carbon Fiber Composite
Lithium-ion Battery Material,271.07,38.48,1,305.65,90.33,138.63089,9.32,Electric Vehicle Battery Pack,6.34,6.92,58.49,Lithium-ion Battery Material
Stainless Steel,88.07,40.58,8,313.97,5.0,144.85684999999998,6.98,Hair Dryer,6.22,6.77,21.41,Stainless Steel
Carbon Fiber Composite,231.6,10.95,2,122.42,58.48,121.20587,7.83,LED TV,8.96,7.34,50.47,Carbon Fiber Composite
Lithium-ion Battery Material,170.47,44.54,8,689.63,78.58,162.04205,9.34,Tablet,0.84,6.35,39.02,Lithium-ion Battery Material
ABS Plastic,370.6,13.89,4,429.72,60.97,238.96046,8.3,Electric Vehicle Battery Pack,4.56,4.5,78.06,ABS Plastic
Copper,10.0,25.21,9,448.56,45.23,46.04066,7.55,Hair Dryer,4.29,9.16,6.91,Copper
Aluminum Alloy,167.3,20.21,2,381.43,81.37,168.30634000000003,8.15,Washing Machine,5.25,6.2,37.55,Aluminum Alloy
Aluminum Alloy,253.37,36.41,1,50.0,86.36,135.89083,6.78,LED TV,10.0,6.99,55.56,Aluminum Alloy
Carbon Fiber Composite,168.12,55.73,2,129.8,61.43,139.65867,6.09,Microwave Oven,8.86,6.9,37.84,Carbon Fiber Composite
Aluminum Alloy,301.36,23.4,4,57.07,72.46,166.06,7.45,Tablet,9.9,6.26,65.63,Aluminum Alloy
Carbon Fiber Composite,331.26,24.18,9,161.64,25.43,250.97703,8.01,Tablet,8.4,4.21,71.39,Carbon Fiber Composite
Aluminum Alloy,211.06,22.67,7,50.0,15.49,188.59827,2.86,Smartphone,10.0,5.71,46.78,Aluminum Alloy
Low Carbon Steel,145.94,25.58,10,50.0,96.4,170.55902,10.36,Laptop,10.0,6.15,37.08,Low Carbon Steel
Lithium-ion Battery Material,270.98,36.95,7,419.42,57.4,199.59629,8.3,Air Conditioner,4.71,5.45,58.96,Lithium-ion Battery Material
Aluminum Alloy,135.46,30.4,10,225.2,48.16,87.52985,6.1,Refrigerator,7.49,8.15,33.03,Aluminum Alloy
Low Carbon Steel,348.65,23.73,10,50.0,47.74,195.93859,11.08,Tablet,10.0,5.54,76.16,Low Carbon Steel
Polypropylene,152.1,21.83,7,513.56,39.85,146.68711,6.93,Refrigerator,3.36,6.73,34.39,Polypropylene
ABS Plastic,578.13,30.89,4,374.14,55.91,304.85253,8.88,Hair Dryer,5.36,2.91,119.58,ABS Plastic
Low Carbon Steel,367.26,23.43,4,391.92,50.66,217.64683,7.95,Tablet,5.1,5.01,77.19,Low Carbon Steel
Lithium-ion Battery Material,234.69,1.0,8,382.33,43.96,134.04818,12.7,Tablet,5.24,7.03,51.7,Lithium-ion Battery Material
Aluminum Alloy,178.37,32.53,10,200.46,48.87,134.61291,8.13,Microwave Oven,7.84,7.02,41.71,Aluminum Alloy
Carbon Fiber Composite,326.21,37.85,2,359.71,46.48,174.6846,8.79,Hair Dryer,5.56,6.05,68.35,Carbon Fiber Composite
Silicon,108.04,21.73,5,357.64,67.84,72.5461,7.43,Air Conditioner,5.59,8.52,26.26,Silicon
Glass,63.83,18.49,3,558.32,42.92,58.71401,6.47,Smartphone,2.72,8.85,15.5,Glass
Low Carbon Steel,234.67,1.0,7,164.66,58.34,133.84987,7.43,LED TV,8.36,7.04,52.46,Low Carbon Steel
Polypropylene,140.39,1.0,1,50.0,92.79,73.78492999999999,6.38,Laptop,10.0,8.49,33.16,Polypropylene
Silicon,301.12,26.12,5,455.25,60.1,200.12939,8.56,Smartphone,4.19,5.43,64.36,Silicon
Stainless Steel,449.65,26.14,7,393.4,53.01,315.62653,8.58,Hair Dryer,5.08,2.65,94.64,Stainless Steel
Carbon Fiber Composite,197.93,24.73,5,153.54,30.34,134.43497000000002,7.91,LED TV,8.52,7.02,43.7,Carbon Fiber Composite
Aluminum Alloy,64.14,11.46,9,350.88,44.75,139.92374,4.69,Laptop,5.69,6.89,18.01,Aluminum Alloy
ABS Plastic,277.22,17.0,1,331.75,35.21,142.05634,9.74,Smartphone,5.96,6.84,57.99,ABS Plastic
ABS Plastic,209.27,25.44,5,377.5,26.9,133.06446,6.04,Laptop,5.31,7.05,45.22,ABS Plastic
ABS Plastic,10.0,10.96,7,339.45,47.14,56.68482,9.61,LED TV,5.85,8.9,6.68,ABS Plastic
Carbon Fiber Composite,257.02,2.63,8,547.53,44.28,171.62599,9.15,Smartphone,2.87,6.12,55.71,Carbon Fiber Composite
Stainless Steel,257.31,35.46,5,174.59,28.94,232.70025,8.62,LED TV,8.21,4.65,55.47,Stainless Steel
Low Carbon Steel,303.55,25.44,9,126.27,75.66,178.48748,7.06,Air Conditioner,8.91,5.96,67.46,Low Carbon Steel
Copper,145.83,1.0,5,314.19,5.0,78.89560000000002,4.75,Smartphone,6.21,8.36,32.06,Copper
Carbon Fiber Composite,115.01,55.14,1,417.22,65.61,73.28884000000001,6.08,Washing Machine,4.74,8.5,26.22,Carbon Fiber Composite
Silicon,409.18,29.43,8,264.26,91.38,233.91572,7.18,Tablet,6.93,4.62,88.36,Silicon
Lithium-ion Battery Material,474.45,6.45,10,233.24,64.53,299.86103,6.58,Refrigerator,7.37,3.03,101.3,Lithium-ion Battery Material
Glass,66.71,5.63,8,349.29,68.45,88.80072,8.58,Air Conditioner,5.71,8.12,18.94,Glass
Aluminum Alloy,210.88,28.28,4,173.73,68.68,168.20797,3.13,Hair Dryer,8.23,6.21,47.08,Aluminum Alloy
Stainless Steel,235.06,42.19,9,471.47,55.2,152.45463999999998,11.06,Washing Machine,3.96,6.59,52.16,Stainless Steel
Lithium-ion Battery Material,77.12,52.86,8,486.85,48.79,86.29864,9.13,Microwave Oven,3.74,8.18,20.04,Lithium-ion Battery Material
Polypropylene,259.93,44.54,7,166.66,96.15,181.91493,10.77,Smartphone,8.33,5.87,58.64,Polypropylene
ABS Plastic,303.46,29.7,10,399.91,90.41,153.30649,9.35,Electric Vehicle Battery Pack,4.99,6.57,67.4,ABS Plastic
Low Carbon Steel,378.34,64.86,6,320.73,100.0,229.49182,5.64,LED TV,6.12,4.73,81.69,Low Carbon Steel
Glass,59.62,30.38,10,120.52,12.52,99.02565,5.01,Hair Dryer,8.99,7.88,17.1,Glass
Lithium-ion Battery Material,342.2,24.11,9,496.37,63.31,177.28034,4.26,Smartphone,3.6,5.99,73.76,Lithium-ion Battery Material
Aluminum Alloy,256.89,28.65,5,229.47,35.43,172.61678,9.22,Smartphone,7.43,6.1,55.43,Aluminum Alloy
ABS Plastic,296.7,10.83,2,361.73,100.0,199.03386,10.6,Tablet,5.53,5.46,64.05,ABS Plastic
Lithium-ion Battery Material,165.78,10.37,4,404.64,29.24,121.15578,7.44,Washing Machine,4.92,7.34,36.22,Lithium-ion Battery Material
Silicon,177.93,22.62,4,332.64,36.46,90.5593,6.5,Smartphone,5.95,8.08,39.07,Silicon
Carbon Fiber Composite,159.17,20.97,1,525.06,64.11,107.49484,9.15,Tablet,3.19,7.67,34.7,Carbon Fiber Composite
Lithium-ion Battery Material,244.06,36.76,6,109.78,34.69,183.19085,8.19,Air Conditioner,9.14,5.84,53.48,Lithium-ion Battery Material
Low Carbon Steel,339.04,54.39,8,231.34,54.88,214.77332,6.17,Air Conditioner,7.4,5.08,73.33,Low Carbon Steel
Aluminum Alloy,216.13,2.82,1,550.84,38.32,132.90623,6.53,Microwave Oven,2.82,7.06,45.24,Aluminum Alloy
Lithium-ion Battery Material,236.26,30.19,9,461.68,58.34,165.26563,10.14,Smartphone,4.1,6.28,52.52,Lithium-ion Battery Material
ABS Plastic,255.64,32.75,3,430.15,29.95,155.04829999999998,6.03,Microwave Oven,4.55,6.52,53.84,ABS Plastic
Lithium-ion Battery Material,85.77,50.43,10,405.61,55.39,63.61598,7.56,Air Conditioner,4.9,8.73,22.8,Lithium-ion Battery Material
Carbon Fiber Composite,213.54,25.4,5,292.12,46.4,174.05,8.44,Laptop,6.53,6.06,46.91,Carbon Fiber Composite
Aluminum Alloy,497.29,27.63,7,331.74,65.49,316.01568,6.21,Smartphone,5.96,2.64,104.71,Aluminum Alloy
Copper,414.24,32.15,4,101.84,55.22,290.24623,10.22,Laptop,9.26,3.26,87.56,Copper
Low Carbon Steel,217.67,27.57,3,50.0,68.67,203.63008,6.71,Hair Dryer,10.0,5.35,48.49,Low Carbon Steel
Low Carbon Steel,84.39,1.0,9,170.89,58.33,84.31226,9.34,Smartphone,8.27,8.23,22.98,Low Carbon Steel
Aluminum Alloy,216.23,24.48,1,68.59,51.95,182.96561000000003,3.77,Refrigerator,9.73,5.85,47.05,Aluminum Alloy
Low Carbon Steel,77.06,36.19,5,198.28,44.28,124.03,7.68,Tablet,7.88,7.27,19.82,Low Carbon Steel
Silicon,317.23,29.87,9,316.74,73.94,215.33074,6.08,Air Conditioner,6.18,5.07,69.6,Silicon
Carbon Fiber Composite,251.81,5.19,6,415.71,24.11,132.59721,8.0,Air Conditioner,4.76,7.07,53.84,Carbon Fiber Composite
Polypropylene,77.91,15.98,3,474.89,25.1,80.01192999999999,4.67,Electric Vehicle Battery Pack,3.91,8.34,18.02,Polypropylene
Lithium-ion Battery Material,255.06,29.88,2,367.3,44.9,177.19851,11.06,Air Conditioner,5.45,5.99,54.05,Lithium-ion Battery Material
Aluminum Alloy,352.16,1.37,8,262.93,67.12,202.91927,8.28,LED TV,6.95,5.37,76.24,Aluminum Alloy
Polypropylene,102.63,23.15,2,390.39,96.08,104.93245,7.11,Microwave Oven,5.12,7.73,25.03,Polypropylene
Carbon Fiber Composite,319.19,4.9,7,267.46,72.9,200.8775,14.48,Electric Vehicle Battery Pack,6.88,5.42,69.5,Carbon Fiber Composite
Low Carbon Steel,135.34,3.3,7,488.81,24.01,127.70751,6.39,Tablet,3.71,7.18,30.63,Low Carbon Steel
Glass,122.65,17.11,10,416.4,60.11,111.05625,7.11,Hair Dryer,4.75,7.59,30.28,Glass
Stainless Steel,359.27,7.53,8,321.0,30.97,208.1012,8.59,Refrigerator,6.12,5.24,76.41,Stainless Steel
Polypropylene,432.77,13.56,2,507.95,78.66,235.70282,9.89,Refrigerator,3.44,4.58,90.2,Polypropylene
Carbon Fiber Composite,84.06,1.0,8,266.93,44.69,83.05959,9.2,Smartphone,6.89,8.26,21.93,Carbon Fiber Composite
Lithium-ion Battery Material,206.63,32.48,7,413.06,30.54,135.87801,9.88,Smartphone,4.8,6.99,45.3,Lithium-ion Battery Material
Silicon,200.39,14.89,8,454.48,66.16,138.155,8.87,Laptop,4.2,6.93,45.3,Silicon
Stainless Steel,465.42,31.32,6,488.37,48.26,237.06098,9.28,LED TV,3.72,4.54,97.08,Stainless Steel
ABS Plastic,564.0,16.55,8,295.03,57.92,285.37089,7.05,LED TV,6.49,3.38,118.24,ABS Plastic
Aluminum Alloy,471.64,24.12,3,366.98,76.88,303.77191,8.4,Electric Vehicle Battery Pack,5.46,2.93,98.63,Aluminum Alloy
Low Carbon Steel,251.3,12.18,6,492.72,84.56,192.6529,5.92,Air Conditioner,3.66,5.62,55.33,Low Carbon Steel
ABS Plastic,536.79,38.58,7,279.84,88.18,325.22617,7.85,Air Conditioner,6.71,2.41,113.45,ABS Plastic
Copper,327.26,40.12,9,310.69,33.85,204.19229,8.32,Smartphone,6.26,5.34,70.42,Copper
Polypropylene,313.83,1.0,9,211.93,46.5,185.5877,4.73,Tablet,7.68,5.79,68.4,Polypropylene
Carbon Fiber Composite,168.31,27.27,1,594.46,34.53,152.84690999999998,6.77,LED TV,2.2,6.58,35.44,Carbon Fiber Composite
Silicon,10.0,27.52,7,442.2,65.33,48.04383,9.02,Laptop,4.38,9.11,6.94,Silicon
Lithium-ion Battery Material,451.17,29.89,8,213.77,51.1,269.30400000000003,8.4,Refrigerator,7.65,3.76,95.7,Lithium-ion Battery Material
Silicon,143.82,44.44,3,384.96,55.11,90.74388,3.52,Microwave Oven,5.2,8.08,32.36,Silicon
Aluminum Alloy,201.96,20.55,3,476.25,65.58,159.53184,6.7,Air Conditioner,3.89,6.42,44.04,Aluminum Alloy
Aluminum Alloy,366.41,51.49,8,717.91,64.61,227.58655,11.08,Hair Dryer,0.43,4.77,77.71,Aluminum Alloy
Carbon Fiber Composite,470.91,25.74,4,408.37,100.0,252.67008000000004,7.27,Electric Vehicle Battery Pack,4.87,4.17,99.36,Carbon Fiber Composite
Silicon,198.71,13.42,2,220.26,71.08,184.32971,10.91,Microwave Oven,7.56,5.82,43.99,Silicon
Stainless Steel,371.03,15.33,9,364.27,74.37,211.0512,8.42,Tablet,5.5,5.17,80.24,Stainless Steel
Glass,328.52,12.48,7,560.54,81.05,282.02883,5.86,Smartphone,2.69,3.46,70.77,Glass
Silicon,265.51,16.61,4,344.33,45.19,194.07933,8.13,Refrigerator,5.78,5.58,56.81,Silicon
